RPM,RPMS Power (RL=1),RPMS Power (RL=2),RPMS Power (RL=10),RPMS Power (RL=15),RPMS Power (RL=22),RPMS Power (RL=33),RPMS Power (RL=47),RPMS Power (RL=68)
8.275275275275275533e+01,3.965366170325123063e-01,4.461367362551799109e-01,2.478747248010732540e-01,1.852637537219834762e-01,1.363321806476803510e-01,9.615605646947283924e-02,6.987225429192633896e-02,4.953498439531322378e-02
8.354354354354354939e+01,4.041501746754691538e-01,4.547032696586231770e-01,2.526347235890699650e-01,1.888214380154952521e-01,1.389502219363477342e-01,9.800258224505277449e-02,7.121404183401650045e-02,5.048622673834989721e-02
8.433433433433434345e+01,4.118360917944648980e-01,4.633512443615868670e-01,2.574399909745142545e-01,1.924129573766026891e-01,1.415931621620598602e-01,9.986666954389618323e-02,7.256859058001430274e-02,5.144651597831953471e-02
8.512512512512512330e+01,4.195943669642089313e-01,4.720806594617851792e-01,2.622905269016854723e-01,1.960383117845542200e-01,1.442610013171546079e-01,1.017483183634617233e-01,7.393590052897747178e-02,5.241585211489482171e-02
8.591591591591591737e+01,4.274249987460077005e-01,4.808915140484418815e-01,2.671863313143379437e-01,1.996975012184029896e-01,1.469537393938982472e-01,1.036475287011848073e-01,7.531597167995528197e-02,5.339423514774555013e-02
8.670670670670671143e+01,4.353279856877629861e-01,4.897838072022869804e-01,2.721274041557006362e-01,2.033905256570062714e-01,1.496713763844841893e-01,1.055643005544762841e-01,7.670880403198780673e-02,5.438166507653820203e-02
8.749749749749750549e+01,4.433033263239746780e-01,4.987575379955601074e-01,2.771137453684778817e-01,2.071173850790259396e-01,1.524139122810339309e-01,1.074986339207234798e-01,7.811439758410636258e-02,5.537814190093628963e-02
8.828828828828829955e+01,4.513510191757410528e-01,5.078127054920102967e-01,2.821453548948500978e-01,2.108780794629289967e-01,1.551813470755969149e-01,1.094505287972895313e-01,7.953275233533343980e-02,5.638366562060027898e-02
8.907907907907907941e+01,4.594710627507584411e-01,5.169493087468933767e-01,2.872222326764710121e-01,2.146726087869857413e-01,1.579736807601503368e-01,1.114199851815137199e-01,8.096386828468249419e-02,5.739823623518745116e-02
8.986986986986987347e+01,4.676634555433229479e-01,5.261673468069767434e-01,2.923443786544708267e-01,2.185009730292723218e-01,1.607909133265990886e-01,1.134070030707115817e-01,8.240774543115834960e-02,5.842185374435208273e-02
