RPM,Electrical Power
2.812412412412412550e+02,5.147839262933453064e+00
2.820320320320320775e+02,5.176797195025711673e+00
2.828228228228228431e+02,5.205836076481806352e+00
2.836136136136136088e+02,5.234955904281139105e+00
2.844044044044044313e+02,5.264156675394758622e+00
2.851951951951951969e+02,5.293438386785351391e+00
2.859859859859860194e+02,5.322801035407232817e+00
2.867767767767767850e+02,5.352244618206366766e+00
2.875675675675676075e+02,5.381769132120351351e+00
2.883583583583583732e+02,5.411374574078425148e+00
2.891491491491491956e+02,5.441060941001475193e+00
2.899399399399399613e+02,5.470828229802020104e+00
2.907307307307307269e+02,5.500676437384229622e+00
2.915215215215215494e+02,5.530605560643908625e+00
2.923123123123123150e+02,5.560615596468519328e+00
2.931031031031031375e+02,5.590706541737156421e+00
2.938938938938939032e+02,5.620878393320573707e+00
2.946846846846847257e+02,5.651131148081156574e+00
2.954754754754754913e+02,5.681464802872944198e+00
2.962662662662662569e+02,5.711879354541633091e+00
2.970570570570570794e+02,5.742374799924559348e+00
2.978478478478478451e+02,5.772951135850719062e+00
2.986386386386386675e+02,5.803608359140746131e+00
2.994294294294294332e+02,5.834346466606924686e+00
3.002202202202202557e+02,5.865165455053217514e+00
3.010110110110110213e+02,5.896065321275210103e+00
3.018018018018018438e+02,5.927046062060157716e+00
3.025925925925926094e+02,5.958107674186972069e+00
3.033833833833833751e+02,5.989250154426213335e+00
3.041741741741741976e+02,6.020473499540107021e+00
3.049649649649649632e+02,6.051777706282525315e+00
3.057557557557557857e+02,6.083162771399011071e+00
3.065465465465465513e+02,6.114628691626760038e+00
3.073373373373373738e+02,6.146175463694624419e+00
3.081281281281281395e+02,6.177803084323126193e+00
3.089189189189189619e+02,6.209511550224446452e+00
3.097097097097097276e+02,6.241300858102424520e+00
3.105005005005004932e+02,6.273171004652565941e+00
3.112912912912913157e+02,6.305121986562047809e+00
3.120820820820820813e+02,6.337153800509696566e+00
3.128728728728729038e+02,6.369266443166019975e+00
3.136636636636636695e+02,6.401459911193195573e+00
3.144544544544544920e+02,6.433734201245049356e+00
3.152452452452452576e+02,6.466089309967090415e+00
3.160360360360360801e+02,6.498525233996494954e+00
3.168268268268268457e+02,6.531041969962108951e+00
3.176176176176176114e+02,6.563639514484449045e+00
3.184084084084084338e+02,6.596317864175716750e+00
3.191991991991991995e+02,6.629077015639762926e+00
3.199899899899900220e+02,6.661916965472126861e+00
3.207807807807807876e+02,6.694837710260024721e+00
3.215715715715716101e+02,6.727839246582341559e+00
3.223623623623623757e+02,6.760921571009645525e+00
3.231531531531531982e+02,6.794084680104183427e+00
3.239439439439439639e+02,6.827328570419870957e+00
3.247347347347347295e+02,6.860653238502302464e+00
3.255255255255255520e+02,6.894058680888774937e+00
3.263163163163163176e+02,6.927544894108229379e+00
3.271071071071071401e+02,6.961111874681335188e+00
3.278978978978979058e+02,6.994759619120395122e+00
3.286886886886887282e+02,7.028488123929441223e+00
3.294794794794794939e+02,7.062297385604152211e+00
3.302702702702703164e+02,7.096187400631923659e+00
3.310610610610610820e+02,7.130158165491812916e+00
3.318518518518518476e+02,7.164209676654586190e+00
3.326426426426426701e+02,7.198341930582685677e+00
3.334334334334334358e+02,7.232554923730231344e+00
3.342242242242242583e+02,7.266848652543067111e+00
3.350150150150150239e+02,7.301223113458688019e+00
3.358058058058058464e+02,7.335678302906329940e+00
3.365965965965966120e+02,7.370214217306864768e+00
3.373873873873874345e+02,7.404830853072904340e+00
3.381781781781782001e+02,7.439528206608717831e+00
3.389689689689689658e+02,7.474306274310314357e+00
3.397597597597597883e+02,7.509165052565363929e+00
3.405505505505505539e+02,7.544104537753248962e+00
3.413413413413413764e+02,7.579124726245047405e+00
3.421321321321321420e+02,7.614225614403538955e+00
3.429229229229229645e+02,7.649407198583191736e+00
3.437137137137137302e+02,7.684669475130204930e+00
3.445045045045045526e+02,7.720012440382444829e+00
3.452952952952953183e+02,7.755436090669506122e+00
3.460860860860860839e+02,7.790940422312671920e+00
3.468768768768769064e+02,7.826525431624942186e+00
3.476676676676676720e+02,7.862191114911023959e+00
3.484584584584584945e+02,7.897937468467319810e+00
3.492492492492492602e+02,7.933764488581934948e+00
3.500400400400400827e+02,7.969672171534718963e+00
3.508308308308308483e+02,8.005660513597190331e+00
3.516216216216216708e+02,8.041729511032610134e+00
3.524124124124124364e+02,8.077879160095925215e+00
3.532032032032032021e+02,8.114109457033821471e+00
3.539939939939940245e+02,8.150420398084667895e+00
3.547847847847847902e+02,8.186811979478573420e+00
3.555755755755756127e+02,8.223284197437362053e+00
3.563663663663663783e+02,8.259837048174560437e+00
3.571571571571572008e+02,8.296470527895422720e+00
3.579479479479479664e+02,8.333184632796916347e+00
3.587387387387387889e+02,8.369979359067745150e+00
3.595295295295295546e+02,8.406854702888301389e+00
3.603203203203203202e+02,8.443810660430726145e+00
3.611111111111111427e+02,8.480847227858884452e+00
3.619019019019019083e+02,8.517964401328340429e+00
3.626926926926927308e+02,8.555162176986415901e+00
3.634834834834834965e+02,8.592440550972124669e+00
3.642742742742743189e+02,8.629799519416232911e+00
3.650650650650650846e+02,8.667239078441221878e+00
3.658558558558559071e+02,8.704759224161312758e+00
3.666466466466466727e+02,8.742359952682441815e+00
3.674374374374374383e+02,8.780041260102287026e+00
3.682282282282282608e+02,8.817803142510248549e+00
3.690190190190190265e+02,8.855645595987466479e+00
3.698098098098098490e+02,8.893568616606822630e+00
3.706006006006006146e+02,8.931572200432915665e+00
3.713913913913914371e+02,8.969656343522103725e+00
3.721821821821822027e+02,9.007821041922445815e+00
3.729729729729730252e+02,9.046066291673774629e+00
3.737637637637637908e+02,9.084392088807641485e+00
3.745545545545545565e+02,9.122798429347346527e+00
3.753453453453453790e+02,9.161285309307929836e+00
3.761361361361361446e+02,9.199852724696169659e+00
3.769269269269269671e+02,9.238500671510587736e+00
3.777177177177177327e+02,9.277229145741451077e+00
3.785085085085085552e+02,9.316038143370777291e+00
3.792992992992993209e+02,9.354927660372320375e+00
3.800900900900900865e+02,9.393897692711588476e+00
3.808808808808809090e+02,9.432948236345842119e+00
3.816716716716716746e+02,9.472079287224072885e+00
3.824624624624624971e+02,9.511290841287044273e+00
3.832532532532532628e+02,9.550582894467252615e+00
3.840440440440440852e+02,9.589955442688967935e+00
3.848348348348348509e+02,9.629408481868189540e+00
3.856256256256256734e+02,9.668942007912695757e+00
3.864164164164164390e+02,9.708556016721997750e+00
3.872072072072072046e+02,9.748250504187373267e+00
3.879979979979980271e+02,9.788025466191866641e+00
3.887887887887887928e+02,9.827880898610269256e+00
3.895795795795796153e+02,9.867816797309131971e+00
3.903703703703703809e+02,9.907833158146781116e+00
3.911611611611612034e+02,9.947929976973282962e+00
3.919519519519519690e+02,9.988107249630473916e+00
3.927427427427427915e+02,1.002836497195197474e+01
3.935335335335335571e+02,1.006870313976314790e+01
3.943243243243243228e+02,1.010912174888112780e+01
3.951151151151151453e+02,1.014962079511482607e+01
3.959059059059059109e+02,1.019020027426490849e+01
3.966966966966967334e+02,1.023086018212380743e+01
3.974874874874874990e+02,1.027160051447575206e+01
3.982782782782783215e+02,1.031242126709672036e+01
3.990690690690690872e+02,1.035332243575447819e+01
3.998598598598599096e+02,1.039430401620854560e+01
4.006506506506506753e+02,1.043536600421023053e+01
4.014414414414414409e+02,1.047650839550261281e+01
4.022322322322322634e+02,1.051773118582055488e+01
4.030230230230230291e+02,1.055903437089069818e+01
4.038138138138138515e+02,1.060041794643146140e+01
4.046046046046046172e+02,1.064188190815302804e+01
4.053953953953954397e+02,1.068342625175740679e+01
4.061861861861862053e+02,1.072505097293832321e+01
4.069769769769770278e+02,1.076675606738134583e+01
4.077677677677677934e+02,1.080854153076380619e+01
4.085585585585585591e+02,1.085040735875480422e+01
4.093493493493493816e+02,1.089235354701527925e+01
4.101401401401401472e+02,1.093438009119788568e+01
4.109309309309309697e+02,1.097648698694712444e+01
4.117217217217217353e+02,1.101867422989926304e+01
4.125125125125125578e+02,1.106094181568236579e+01
4.133033033033033234e+02,1.110328973991630619e+01
